CX1	CX2	CX3	CX4	CX5	CX6	CX7	CX8	CX9	CX10	CX11	CX12	CX13	CX14	CX15	CX16	CX17
TCGA-19-5960	0.619454918465672	0.15141784646791	0	0.0110633132765958	0.089757290859095	0.0044226659369401	0.0181625557438025	0	0.0141958049705258	0	0.059052504654726	0.00724159863128233	0.0252315009934505	0	0	0	0
TCGA-21-1078	0.844160373848787	0	0	0.0747381401539607	0	0.0389546903582904	0	0.0116813524384627	0	0	0	0.00522612366774251	0	0.0252393195327566	0	0	0
TCGA-21-1082	0.348962717384362	0	0.425743242610501	0.0970761135126256	0.0329946686771265	0.00755113670067254	0.0123562064235817	0.00866961643894682	0	0	0.0197758812535222	0	0	0.00843593780648525	0	0.00709507762842473	0.0313394015637519
TCGA-21-1083	0.133324409172867	0.0581396809445497	0.346628782553478	0.0918733891690576	0.268101527116345	0	0.0593098984617274	0.0222530034035421	0	0	0.0162044610842049	0.00416484809422805	0	0	0	0	0
TCGA-21-5782	0.395728401030761	0.123132747531028	0.404162236443597	0.00780236629441161	0.0430928058744582	0	0	0	0.0202195011816445	0	0.00586194164409941	0	0	0	0	0	0
TCGA-22-5477	0.309632443191258	0.0250098095457604	0.3522894491107	0.106531806664572	0.039705692565008	0.00876497322970133	0	0	0.064719233943188	0.0226152783811565	0.0641616689744492	0	0.00656964439420556	0	0	0	0
TCGA-22-5485	0.534593795854656	0.0518592687751738	0.204069601530501	0	0.038024327200415	0	0	0	0.0118895562124826	0.0259379530909865	0.00501970834399904	0	0	0.0142594729841216	0.111688860277693	0.0026574557299711	0
TCGA-22-5492	0.560608700763996	0.100163712130693	0.215801542812158	0.0198595729281786	0.0235512417676491	0	0	0	0.0301978796852287	0	0.0268562777186404	0	0.000812906305752411	0	0.0221481658877045	0	0
TCGA-23-1110	0.157411740169882	0.105704106591427	0.529149147800868	0.0357640193586947	0.0835895306713189	0	0.000516555186276749	0.000314717482227029	0.0325653565842428	0	0.0198104267796214	0	0	0.0125608423780565	0.0226135569973846	0	0
TCGA-23-1118	0.0434422490644157	0.0396626280487067	0.525455212378619	0.0646298216884561	0.159654192170625	0	0	0.0791102249830176	0	0.0411319663604599	0	0	0	0	0	0.046913705305699	0
TCGA-23-1124	0	0.182379707780531	0.310795560163269	0.0509864984544395	0.273506917334442	0	0.0140345835984001	0.00444112066531647	0	0	0	0	0	0	0.122432819649784	0.0414227923538173	0
TCGA-24-0982	0.360796070904015	0.155910625181686	0.32348025784722	0.0181774928542041	0.072144260464056	0.00912255004511509	9.23837651892313e-05	0.00901288904113724	0.0277584515264814	0	0	0	0	0	0.0172197119729424	0.00628530639795358	0
